501016,49101,16000,RECARGO (COMPENSACIÓN IT),S2819004I,DIRECCION PROVINCIAL DE TRABAJO Y SEGURIDAD SOCIAL Y ASUNTOS SOCIALES,38.5
501016,49101,16000,PAGO RECLAMACION DEUDA SG.SOCIAL (LOPEZ HERANZ),S2819004I,DIRECCION PROVINCIAL DE TRABAJO Y SEGURIDAD SOCIAL Y ASUNTOS SOCIALES,865.44
501016,49101,16000,"PAGO RECLAMACION DEUDA SEG.SOCIAL (MTNEZ.GARCIA,A)",S2819004I,DIRECCION PROVINCIAL DE TRABAJO Y SEGURIDAD SOCIAL Y ASUNTOS SOCIALES,2954.52
501016,49101,16108,ABONO DE TRANSPORTE PERSONAL IAM,Q7850003J,CONSORCIO REGIONAL DE TRANSPORTES PUBLICOS REGULARES DE MADRID,6965.5
501016,49101,16108,TRANSPORTE JUBILADOS Y PENSIONISTAS,Q7850003J,CONSORCIO REGIONAL DE TRANSPORTES PUBLICOS REGULARES DE MADRID,-51.25
501016,49101,16202,ABONO TRANSPORTE PERSONAL IAM 2016,Q7850003J,CONSORCIO REGIONAL DE TRANSPORTES PUBLICOS REGULARES DE MADRID,1681.93
501016,49101,16202,ABONO TRANSPORTE PERSONAL IAM,Q7850003J,CONSORCIO REGIONAL DE TRANSPORTES PUBLICOS REGULARES DE MADRID,883.25
501016,49101,16202,ABONO DE TRANSPORTE PERSONAL IAM,Q7850003J,CONSORCIO REGIONAL DE TRANSPORTES PUBLICOS REGULARES DE MADRID,223864.92
501016,49101,20200,07.01 CONT.ARREND.EDIFICIO GASTOS 01ENE,B64989288,METROINVEST LOCAL ASSETS S L,7519.67
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA 01ENE,B64989288,METROINVEST LOCAL ASSETS S L,183658.28
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA 06JUN,B66482795,REX SPAIN ZDHL S L,183658.28
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO GASTOS 06JUN,B66482795,REX SPAIN ZDHL S L,7519.67
501016,49101,20200,07.01 ARRENDAM.EDIFICIO RENTA-GASTOS 02FEB-03MAR,B66482795,REX SPAIN ZDHL S L,382355.9
501016,49101,20200,07.01 ARRENDAM.EDIFICIO RENTA-GASTOS 04ABR-05MAY,B66482795,REX SPAIN ZDHL S L,382355.9
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA  07JUL,B66482795,REX SPAIN ZDHL S L,183658.28
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO GASTOS  07JUL,B66482795,REX SPAIN ZDHL S L,7519.67
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA  08AGO,B66482795,REX SPAIN ZDHL S L,183658.28
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO GASTOS  08AGO,B66482795,REX SPAIN ZDHL S L,7519.67
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA 09SEP,B66482795,REX SPAIN ZDHL S L,183658.28
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO GASTOS 09SEP,B66482795,REX SPAIN ZDHL S L,7519.67
501016,49101,20200,07.01 CONTR.ARRENDAM.EDIFICIO 10OCT,B66482795,REX SPAIN ZDHL S L,191177.95
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA+GTOS. 11NOV,B66482795,REX SPAIN ZDHL S L,191177.95
501016,49101,20200,07.01 ARRENDAMIENTO EDIFICIO RENTA+GTOS. 12DIC,B66482795,REX SPAIN ZDHL S L,191177.95
501016,49101,20400,07.02 ARRENDAMIENTO VEHICULO SUBLOTE 1.2 12 DIC15,A91001438,ALPHABET ESPAÐA FLEET MANAGEMENT S A U,587.06
